Year;Facial Hair Style;Number
1958;Cleanshaven;1024
1971;Moustache;15
1972;Full Beard/Chinstrap;120
1996;Goatee;21
1999;Sideburns;84
2004;Full Beard/Chinstrap;17
2008;Sideburns;43
1898;Moustache (with Muttonchops);1
1898;Goatee;0
1899;Muttonchops;1
1900;Moustache (with Muttonchops);0
1901;Moustache (with Sideburns);1
1902;Moustache (with Muttonchops);0
1905;Moustache (with Sideburns);0
1906;Cleanshaven;391
1907;Moustache (with Muttonchops);0
1907;Cleanshaven;414
1912;Cleanshaven;475
1915;Moustache (with Muttonchops);0
1915;Sideburns;0
1916;Muttonchops;0
1924;Sideburns;1
1924;Goatee;0
1925;Muttonchops;0
1930;Cleanshaven;824
1932;Full Beard/Chinstrap;0
1936;Moustache (with Muttonchops);0
1938;Moustache;53
1953;Goatee;0
1958;Full Beard/Chinstrap;3
1963;Muttonchops;0
1966;Moustache (with Muttonchops);0
1968;Sideburns;92
1968;Cleanshaven;1105
1970;Cleanshaven;432
1971;Moustache (with Sideburns);27
1972;Moustache;40
1987;Moustache;126
1990;Moustache (with Sideburns);0
1990;Goatee;0
1999;Moustache (with Muttonchops);0
2000;Moustache (with Muttonchops);0
2003;Moustache;2
2007;Goatee;21
2007;Moustache;0
